Predicted complex	Size (# of subunits)	Co-complex membership_UniProtKB AC	Co-complex membership_UniProtKB EntryName	# of matched subunit in public DB	"""Novel"" proteins"	Annotated proteins	Best-matching CORUM complex	Best-matchng REACTOME complex	Best-mathng PINdb complex	Best-matching HPRD complex	Best-mathng Gene Ontology Cell Component complex	Best-matching MEMO complex, Malovannaya et al	Best-matching FLY complex (orthology), Guruharsha et al.	Best-matching YEAST complex (orthology), Babu el al.,	Taxonomic group
C_426	5	Q9UBV8,Q8WUM4,P06744,P13929,Q8N2U0	PEF1_HUMAN,PDC6I_HUMAN,G6PI_HUMAN,ENOB_HUMAN,CQ061_HUMAN	0	P06744,P13929,Q8N2U0,Q8WUM4,Q9UBV8,	-	-	-	-	-	-	-	-	-	Fungi
C_427	5	Q9C0B5,P61088,Q9UL12,Q9Y3D8,Q02790	ZDHC5_HUMAN,UBE2N_HUMAN,SARDH_HUMAN,KAD6_HUMAN,FKBP4_HUMAN	0	P61088,Q02790,Q9C0B5,Q9UL12,Q9Y3D8,	-	-	-	-	-	-	-	-	-	Fungi
C_428	5	Q9NTJ3,O95347,Q9BPX3,Q15003,Q15021	SMC4_HUMAN,SMC2_HUMAN,CND3_HUMAN,CND2_HUMAN,CND1_HUMAN	5	-	O95347,Q15003,Q15021,Q9BPX3,Q9NTJ3,	CORUM_10::13S condensin complex (1.90e-12)	-	PINdb_186::condensin Complex- cell cycle (2.28e-09)	-	GO:0000796|condensin complex (2.79e-11)	AM000285 (1.83e-06)	-	Y_189 (2.10E-07)	Fungi
C_429	5	Q9BXF6,Q9BYZ2,O95267,Q9BRR6,Q9NUT2	RFIP5_HUMAN,LDH6B_HUMAN,GRP1_HUMAN,ADPGK_HUMAN,ABCB8_HUMAN	0	O95267,Q9BRR6,Q9BXF6,Q9BYZ2,Q9NUT2,	-	-	-	-	-	-	-	-	-	vertebrates
C_430	5	P17028,Q96NB3,Q14966,P25490,Q96RD0	ZNF24_HUMAN,ZN830_HUMAN,ZN638_HUMAN,TYY1_HUMAN,OR8B2_HUMAN	2	P25490,Q96NB3,Q96RD0,	P17028,Q14966	-	-	-	-	-	-	-	-	vertebrates
C_431	5	O00186,A1X283,Q9Y2L1,P53041,P02765	STXB3_HUMAN,SPD2B_HUMAN,RRP44_HUMAN,PPP5_HUMAN,FETUA_HUMAN	0	A1X283,O00186,P02765,P53041,Q9Y2L1,	-	-	-	-	-	-	-	-	-	multicellularity
C_432	5	Q9H490,Q969N2,Q96S52,Q92643,O43292	PIGU_HUMAN,PIGT_HUMAN,PIGS_HUMAN,GPI8_HUMAN,GPAA1_HUMAN	5	-	O43292,Q92643,Q969N2,Q96S52,Q9H490,	CORUM_994::GAA1-GPI8-PIGT-PIG-PIGS complex (1.99e-12)	REACT_4592~GPI transamidase [endoplasmic reticulum membrane] (6.28e-12)	-	HPRD_1049::in vitro and in vivo (5.61e-12)	GO:0042765|GPI-anchor transamidase complex (2.95e-11)	-	F_549 (5.86E-05)	-	multicellularity
C_433	5	Q9Y3A4,P49792,Q9NZM1,P43243,O43633	RRP7A_HUMAN,RBP2_HUMAN,MYOF_HUMAN,MATR3_HUMAN,CHM2A_HUMAN	0	O43633,P43243,P49792,Q9NZM1,Q9Y3A4,	-	-	-	-	-	-	-	-	-	vertebrates
C_434	5	P82921,Q9BXJ9,P19105,Q9NX55,Q01518	RT21_HUMAN,NAA15_HUMAN,ML12A_HUMAN,HYPK_HUMAN,CAP1_HUMAN	0	P19105,P82921,Q01518,Q9BXJ9,Q9NX55,	-	-	-	-	-	-	-	F_74 (1.84E-03)	-	vertebrates
C_435	5	Q96TA1,Q96HR8,Q8IYT4,O43719,O14617	NIBL1_HUMAN,NAF1_HUMAN,KATL2_HUMAN,HTSF1_HUMAN,AP3D1_HUMAN	0	O14617,O43719,Q8IYT4,Q96HR8,Q96TA1,	-	-	-	-	-	-	-	-	-	vertebrates
C_436	5	Q9NZ01,Q9UNL2,O75940,Q7KZF4,P04843	TECR_HUMAN,SSRG_HUMAN,SPF30_HUMAN,SND1_HUMAN,RPN1_HUMAN	2	O75940,Q7KZF4,Q9NZ01,	P04843,Q9UNL2,	CORUM_1209::Oligosaccharyltransferase OSTC-III (1.84e-03)	REACT_15589~Translocon-TRAP Complex [endoplasmic reticulum membrane] (7.51e-03)	-	-	-	-	-	-	Fungi
C_437	5	Q96P70,Q14974,O60684,O15131,P52294	IPO9_HUMAN,IMB1_HUMAN,IMA7_HUMAN,IMA5_HUMAN,IMA1_HUMAN	2	O15131,O60684,Q96P70,	P52294,Q14974,	-	REACT_13922~importin-alpha:importin-beta complex [nucleoplasm] (1.93e-04)	-	-	-	AM000733 (2.48e-04)	-	Y_69 (2.60E-03)	multicellularity
C_438	5	O43913,Q9UBD5,Q13416,Q9UFC0,P23743	ORC5_HUMAN,ORC3_HUMAN,ORC2_HUMAN,LRWD1_HUMAN,DGKA_HUMAN	4	P23743,	O43913,Q13416,Q9UBD5,Q9UFC0,	CORUM_1034::ORC 2-5 complex (origin recognition 2-5 complex) (2.17e-06)	REACT_2818~Orc5:Orc3:Orc2:origin [nucleoplasm] (1.18e-06)	PINdb_78::ORC Complex- DNA replication (1.26e-05)	HPRD_879::in vivo (1.31e-06)	GO:0005664|nuclear origin of replication recognition complex (3.51e-07)	AM001224 (1.78e-06)	-	Y_70 (8.67E-03)	vertebrates
C_439	5	Q9Y314,O75676,P23352,Q9UPW0,Q86XP3	NOSIP_HUMAN,KS6A4_HUMAN,KALM_HUMAN,FOXJ3_HUMAN,DDX42_HUMAN	0	O75676,P23352,Q86XP3,Q9UPW0,Q9Y314,	-	-	-	-	-	-	-	-	-	vertebrates
C_440	5	Q9H3N1,Q9NX14,P53985,Q9Y5U9,Q9H1C7	TMX1_HUMAN,NDUBB_HUMAN,MOT1_HUMAN,IR3IP_HUMAN,CE032_HUMAN	0	P53985,Q9H1C7,Q9H3N1,Q9NX14,Q9Y5U9,	-	-	-	-	-	-	-	-	-	vertebrates
C_441	5	O14957,O75127,Q9H7Z7,Q9H488,Q13423	QCR10_HUMAN,PTCD1_HUMAN,PGES2_HUMAN,OFUT1_HUMAN,NNTM_HUMAN	0	O14957,O75127,Q13423,Q9H488,Q9H7Z7,	-	-	-	-	-	-	-	-	-	vertebrates
C_442	5	Q8WXH0,Q96E29,Q8IWT6,Q8TDB8,P31040	SYNE2_HUMAN,MTER1_HUMAN,LRC8A_HUMAN,GTR14_HUMAN,DHSA_HUMAN	0	P31040,Q8IWT6,Q8TDB8,Q8WXH0,Q96E29,	-	-	-	-	-	-	-	-	-	vertebrates
C_443	5	P51148,P61026,O14880,Q8IYS2,O75844	RAB5C_HUMAN,RAB10_HUMAN,MGST3_HUMAN,K2013_HUMAN,FACE1_HUMAN	0	O14880,O75844,P51148,P61026,Q8IYS2,	-	-	-	-	-	-	-	-	-	Fungi
C_444	5	Q9Y3D7,O00330,P33527,O60841,Q99613	TIM16_HUMAN,ODPX_HUMAN,MRP1_HUMAN,IF2P_HUMAN,EIF3C_HUMAN	0	O00330,O60841,P33527,Q99613,Q9Y3D7,	-	-	-	-	-	-	-	-	-	Fungi
C_445	5	Q15061,Q16864,O95071,P51668,P19525	WDR43_HUMAN,VATF_HUMAN,UBR5_HUMAN,UB2D1_HUMAN,E2AK2_HUMAN	0	O95071,P19525,P51668,Q15061,Q16864,	-	-	-	-	-	-	-	-	-	multicellularity
C_446	5	P63220,Q9H2F9,P56385,P50995,P05141	RS21_HUMAN,CCD68_HUMAN,ATP5I_HUMAN,ANX11_HUMAN,ADT2_HUMAN	2	P50995,P63220,Q9H2F9,	P56385,P05141	-	-	-	-	-	-	-	-	vertebrates
C_447	5	P07951,P16949,Q14108,Q92804,Q16531	TPM2_HUMAN,STMN1_HUMAN,SCRB2_HUMAN,RBP56_HUMAN,DDB1_HUMAN	0	P07951,P16949,Q14108,Q16531,Q92804,	-	-	-	-	-	-	-	-	-	vertebrates
C_448	5	P23921,P00491,O00754,O00115,Q9UBS4	RIR1_HUMAN,PNPH_HUMAN,MA2B1_HUMAN,DNS2A_HUMAN,DJB11_HUMAN	0	O00115,O00754,P00491,P23921,Q9UBS4,	-	-	-	-	-	-	-	-	-	Fungi
C_449	5	Q08AF3,Q8TDP1,Q5TBB1,O75792,O95747	SLFN5_HUMAN,RNH2C_HUMAN,RNH2B_HUMAN,RNH2A_HUMAN,OXSR1_HUMAN	3	O95747,Q08AF3,	O75792,Q5TBB1,Q8TDP1,	-	-	-	-	GO:0032299|ribonuclease H2 complex (3.15e-06)	-	-	-	vertebrates
C_450	5	O60907,Q96DI7,Q9UKM9,Q58FF8,Q9NWU2	TBL1X_HUMAN,SNR40_HUMAN,RALY_HUMAN,H90B2_HUMAN,CT011_HUMAN	2	O60907,Q58FF8,Q9NWU2,	Q96DI7,Q9UKM9,	-	-	-	-	-	-	-	-	vertebrates
C_451	5	P35269,Q96T76,Q9Y3D0,O76071,Q6P1J9	T2FA_HUMAN,MMS19_HUMAN,MIP18_HUMAN,CIAO1_HUMAN,CDC73_HUMAN	3	P35269,Q6P1J9,	O76071,Q96T76,Q9Y3D0,	-	-	-	-	GO:0071817|MMXD complex (2.76e-05)	-	F_182 (2.64E-04)	Y_658 (4.13E-04)	Fungi
C_452	5	Q9UGR2,Q96QU8,Q96JC1,Q9H270,Q9BZV1	Z3H7B_HUMAN,XPO6_HUMAN,VPS39_HUMAN,VPS11_HUMAN,UBXN6_HUMAN	2	Q96QU8,Q9BZV1,Q9UGR2,	Q96JC1,Q9H270,	CORUM_2573::Class C VPS/HOPS complex (1.34e-03)	-	-	-	GO:0030897|HOPS complex (1.79e-02)	-	-	Y_28 (0.0227)	multicellularity
C_453	5	P18031,P12035,P06756,P34896,Q8IVS2	PTN1_HUMAN,K2C3_HUMAN,ITAV_HUMAN,GLYC_HUMAN,FABD_HUMAN	0	P06756,P12035,P18031,P34896,Q8IVS2,	-	-	-	-	-	-	-	-	-	vertebrates
C_454	5	Q9Y2Z4,P29803,Q16891,Q15800,Q96HY6	SYYM_HUMAN,ODPAT_HUMAN,IMMT_HUMAN,ERG25_HUMAN,DDRGK_HUMAN	0	P29803,Q15800,Q16891,Q96HY6,Q9Y2Z4,	-	-	-	-	-	-	-	-	-	multicellularity
C_455	5	Q6FIF0,Q9Y4P8,Q9Y6I4,Q9NUQ3,P40222	ZFAN6_HUMAN,WIPI2_HUMAN,UBP3_HUMAN,TXLNG_HUMAN,TXLNA_HUMAN	0	P40222,Q6FIF0,Q9NUQ3,Q9Y4P8,Q9Y6I4,	-	-	-	-	-	-	-	-	-	vertebrates
C_456	5	P23497,P55735,O94979,Q15436,P55011	SP100_HUMAN,SEC13_HUMAN,SC31A_HUMAN,SC23A_HUMAN,S12A2_HUMAN	3	P23497,P55011,	O94979,P55735,Q15436,	-	REACT_13165~Sar1b:GTP:Sec23p:Sec24p:Sec13p:Sec31p Complex [endoplasmic reticulum membrane] (4.74e-05)	-	-	-	-	-	Y_145 (3.72E-03)	multicellularity
C_457	5	P61421,Q8IUD2,P52298,Q09161,O15083	VA0D1_HUMAN,RB6I2_HUMAN,NCBP2_HUMAN,NCBP1_HUMAN,ERC2_HUMAN	2	O15083,P61421,Q8IUD2,	P52298,Q09161,	CORUM_775::CBC complex (cap binding complex) (1.38e-04)	REACT_4898~lariat containing 5-end cleaved mRNA:CBC complex [nucleoplasm] (1.99e-04)	-	HPRD_795::in vitro (1.48e-03)	GO:0005845|mRNA cap binding complex (1.04e-02)	-	F_467 (8.79E-05)	Y_153 (5.20E-03)	multicellularity
C_458	5	Q9BTV4,P82675,P61026,Q10471,O75844	TMM43_HUMAN,RT05_HUMAN,RAB10_HUMAN,GALT2_HUMAN,FACE1_HUMAN	0	O75844,P61026,P82675,Q10471,Q9BTV4,	-	-	-	-	-	-	-	-	-	Fungi
C_459	5	P11441,P04216,Q14247,Q15020,Q8IZP0	UBL4A_HUMAN,THY1_HUMAN,SRC8_HUMAN,SART3_HUMAN,ABI1_HUMAN	0	P04216,P11441,Q14247,Q15020,Q8IZP0,	-	-	-	-	-	-	-	-	-	vertebrates
C_460	5	Q6GQQ9,Q8WV07,P52701,P20585,P43246	OTU7B_HUMAN,ORAV1_HUMAN,MSH6_HUMAN,MSH3_HUMAN,MSH2_HUMAN	3	Q6GQQ9,Q8WV07,	P20585,P43246,P52701,	CORUM_375::MSH2-MSH3 complex (1.32e-04)	-	-	HPRD_1744::in vitro (5.77e-04)	GO:0032301|MutSalpha complex (4.74e-04)	AM000115 (2.44e-04)	-	-	vertebrates
C_461	5	Q9NYH9,Q96PU4,Q9BSL1,A6NIH7,Q6IBS0	UTP6_HUMAN,UHRF2_HUMAN,UBAC1_HUMAN,U119B_HUMAN,TWF2_HUMAN	0	A6NIH7,Q6IBS0,Q96PU4,Q9BSL1,Q9NYH9,	-	-	-	-	-	-	-	-	-	vertebrates
C_462	5	Q7Z3B4,Q9UKX7,P49790,Q16626,Q15021	NUP54_HUMAN,NUP50_HUMAN,NU153_HUMAN,MEA1_HUMAN,CND1_HUMAN	3	Q15021,Q16626,	P49790,Q7Z3B4,Q9UKX7,	-	REACT_5542~Nuclear Pore Complex (NPC) [nuclear envelope] (1.27e-03)	-	-	-	-	F_130 (3.51E-04)	-	vertebrates
C_463	5	P11142,P17066,P54652,P08107,Q9Y2V2	HSP7C_HUMAN,HSP76_HUMAN,HSP72_HUMAN,HSP71_HUMAN,CHSP1_HUMAN	2	P17066,P54652,Q9Y2V2,	P08107,P11142,	CORUM_725::P2X7 receptor signalling complex (4.62e-03)	REACT_25605~AUF1 Complexed with Translation and Heat Shock Proteins [cytosol] (2.07e-03)	-	HPRD_370::in vivo (1.46e-03)	-	PM000253 (9.74e-07)	-	-	multicellularity
C_464	5	Q9Y320,Q92544,Q9Y5J6,Q9NRX5,P11717	TMX2_HUMAN,TM9S4_HUMAN,TIM9B_HUMAN,SERC1_HUMAN,MPRI_HUMAN	0	P11717,Q92544,Q9NRX5,Q9Y320,Q9Y5J6,	-	-	-	-	-	-	-	-	-	multicellularity
C_465	5	P35270,Q9NR45,P54727,P13796,P46108	SPRE_HUMAN,SIAS_HUMAN,RD23B_HUMAN,PLSL_HUMAN,CRK_HUMAN	0	P13796,P35270,P46108,P54727,Q9NR45,	-	-	-	-	-	-	-	-	-	vertebrates
C_466	5	Q9P2K5,Q9HCN4,Q5T1M5,O60888,Q9BWU1	MYEF2_HUMAN,GPN1_HUMAN,FKB15_HUMAN,CUTA_HUMAN,CDK19_HUMAN	0	O60888,Q5T1M5,Q9BWU1,Q9HCN4,Q9P2K5,	-	-	-	-	-	-	-	-	-	vertebrates
C_467	5	P67775,P63151,P30154,P30153,Q14738	PP2AA_HUMAN,2ABA_HUMAN,2AAB_HUMAN,2AAA_HUMAN,2A5D_HUMAN	5	-	P30153,P30154,P63151,P67775,Q14738,	CORUM_5876::PPP2R1A-PPP2R1B-PPP2CA-PPME1-EIF4A1 complex (5.30e-06)	REACT_4092~Inactive PP2A-ABdeltaC complex [cytosol] (1.77e-08)	-	HPRD_2648::in vitro and in vivo (2.15e-05)	GO:0000159|protein phosphatase type 2A complex (7.27e-04)	AM000004 (2.51e-04)	-	Y_47 (8.51E-11)	Plants &Protists
C_468	5	Q15554,Q9NYB0,Q92878,O60934,P49959	TERF2_HUMAN,TE2IP_HUMAN,RAD50_HUMAN,NBN_HUMAN,MRE11_HUMAN	5	-	O60934,P49959,Q15554,Q92878,Q9NYB0,	CORUM_619::MRE11A-RAD50-NBN-TRF2 complex (1.25e-09)	REACT_4350~MRE11:RAD50:NBS1 complex [nucleoplasm] (1.15e-06)	PINdb_189::hRap1 Complex- cell growth (1.18e-05)	HPRD_2347::in vivo (5.30e-12)	GO:0030870|Mre11 complex (2.64e-11)	AM000064 (1.69e-06)	-	-	vertebrates
C_469	5	Q92558,Q5VIR6,O14530,Q9NQ66,O94913	WASF1_HUMAN,VPS53_HUMAN,TXND9_HUMAN,PLCB1_HUMAN,PCF11_HUMAN	0	O14530,O94913,Q5VIR6,Q92558,Q9NQ66,	-	-	-	-	-	-	-	-	-	vertebrates
C_470	5	P49750,Q9NZD8,Q96EA4,Q6NUQ1,Q01581	YLPM1_HUMAN,SPG21_HUMAN,SPDLY_HUMAN,RINT1_HUMAN,HMCS1_HUMAN	0	P49750,Q01581,Q6NUQ1,Q96EA4,Q9NZD8,	-	-	-	-	-	-	-	-	-	vertebrates
C_471	5	P04264,P35908,P35527,P13645,Q8IVF2	K2C1_HUMAN,K22E_HUMAN,K1C9_HUMAN,K1C10_HUMAN,AHNK2_HUMAN	3	P35908,Q8IVF2,	P04264,P13645,P35527,	-	-	-	HPRD_2796::in vivo (1.08e-02)	-	-	-	-	mammals
C_472	5	P22694,P17612,P13861,Q14011,Q14444	KAPCB_HUMAN,KAPCA_HUMAN,KAP2_HUMAN,CIRBP_HUMAN,CAPR1_HUMAN	3	Q14011,Q14444,	P13861,P17612,P22694,	CORUM_520::KCNQ1 macromolecular complex (4.97e-05)	REACT_5749~PKA tetramer [cytosol] (3.14e-05)	-	HPRD_2337::in vivo (9.62e-04)	-	AM001276 (1.39e-05)	F_117 (5.27E-04)	Y_272 (4.20E-07)	multicellularity
C_473	5	Q7Z2W4,O00442,P78406,P15151,P78549	ZCCHV_HUMAN,RTC1_HUMAN,RAE1L_HUMAN,PVR_HUMAN,NTHL1_HUMAN	0	O00442,P15151,P78406,P78549,Q7Z2W4,	-	-	-	-	-	-	-	-	-	vertebrates
C_474	5	P55072,P16949,P31948,P49321,P11142	TERA_HUMAN,STMN1_HUMAN,STIP1_HUMAN,NASP_HUMAN,HSP7C_HUMAN	2	P16949,P31948,P49321,	P11142,P55072,	CORUM_2837::Profilin 1 complex (1.37e-03)	-	-	-	-	-	-	-	multicellularity
C_475	5	P41236,Q9UJY1,Q9NPA8,Q9H773,Q6FI81	IPP2_HUMAN,HSPB8_HUMAN,ENY2_HUMAN,DCTP1_HUMAN,CPIN1_HUMAN	0	P41236,Q6FI81,Q9H773,Q9NPA8,Q9UJY1,	-	-	-	-	-	-	-	-	-	vertebrates
C_476	5	P52788,P40855,P49023,Q9Y536,Q8WVJ2	SPSY_HUMAN,PEX19_HUMAN,PAXI_HUMAN,PAL4A_HUMAN,NUDC2_HUMAN	0	P40855,P49023,P52788,Q8WVJ2,Q9Y536,	-	-	-	-	-	-	-	-	-	vertebrates
C_477	5	Q9HC07,Q8N766,P06744,Q8N2U0,O43852	TM165_HUMAN,K0090_HUMAN,G6PI_HUMAN,CQ061_HUMAN,CALU_HUMAN	0	O43852,P06744,Q8N2U0,Q8N766,Q9HC07,	-	-	-	-	-	-	-	-	-	Fungi
C_478	5	Q15833,Q12846,O00161,P12429,P50995	STXB2_HUMAN,STX4_HUMAN,SNP23_HUMAN,ANXA3_HUMAN,ANX11_HUMAN	2	P12429,P50995,Q15833,	O00161,Q12846,	CORUM_805::SNARE complex (STX4, SNAP23) (1.34e-04)	REACT_15240~Vamp8:SNAP23:Syn4 Secretory granule docking and fusion complex [plasma membrane, secretory granule membrane] (4.76e-04)	-	-	-	-	F_7 (1.46E-04)	-	vertebrates
C_479	5	Q9C0J8,Q6UN15,Q9UKF6,Q9P2I0,Q10570	WDR33_HUMAN,FIP1_HUMAN,CPSF3_HUMAN,CPSF2_HUMAN,CPSF1_HUMAN	4	Q9C0J8,	Q10570,Q6UN15,Q9P2I0,Q9UKF6,	CORUM_1144::Cleavage and polyadenylation factor (CPSF) (5.77e-09)	REACT_4530~CPSF [nucleoplasm] (1.21e-06)	-	HPRD_788::in vitro and in vivo (3.57e-05)	GO:0005847|mRNA cleavage and polyadenylation specificity factor complex (1.47e-04)	AM000083 (2.99e-10)	-	Y_15 (4.25E-07)	multicellularity
C_480	5	Q9BYC9,Q96ST2,Q9H936,P06396,P21912	RM20_HUMAN,IWS1_HUMAN,GHC1_HUMAN,GELS_HUMAN,DHSB_HUMAN	0	P06396,P21912,Q96ST2,Q9BYC9,Q9H936,	-	-	-	-	-	-	-	-	-	multicellularity
C_481	5	P62995,Q15434,Q15056,P06730,P31689	TRA2B_HUMAN,RBMS2_HUMAN,IF4H_HUMAN,IF4E_HUMAN,DNJA1_HUMAN	2	P31689,P62995,Q15434,	P06730,Q15056,	-	REACT_2596~mRNA:eIF4F:eIF4B:eIF4H [cytosol] (2.03e-03)	-	-	GO:0016281|eukaryotic translation initiation factor 4F complex (8.30e-03)	-	-	-	vertebrates
C_482	5	P18669,Q92882,P14174,Q15181,P54105	PGAM1_HUMAN,OSTF1_HUMAN,MIF_HUMAN,IPYR_HUMAN,ICLN_HUMAN	0	P14174,P18669,P54105,Q15181,Q92882,	-	-	-	-	-	-	-	-	-	multicellularity
C_483	5	Q9Y4R8,Q15424,P54819,P58107,Q9BR76	TELO2_HUMAN,SAFB1_HUMAN,KAD2_HUMAN,EPIPL_HUMAN,COR1B_HUMAN	0	P54819,P58107,Q15424,Q9BR76,Q9Y4R8,	-	-	-	-	-	-	-	-	-	birds
C_484	5	Q86TC9,Q7Z3B3,Q14562,Q9H6A0,Q9BZJ0	MYPN_HUMAN,K1267_HUMAN,DHX8_HUMAN,DEN2D_HUMAN,CRNL1_HUMAN	2	Q7Z3B3,Q86TC9,Q9H6A0,	Q14562,Q9BZJ0,	-	-	-	-	-	-	-	-	vertebrates
C_485	5	Q15366,Q8N163,P54652,P08107,P68104	PCBP2_HUMAN,K1967_HUMAN,HSP72_HUMAN,HSP71_HUMAN,EF1A1_HUMAN	2	P54652,Q15366,Q8N163,	P08107,P68104,	-	-	-	-	-	PM000253 (6.90e-03)	-	-	vertebrates
C_486	5	P61764,Q96AT9,Q9BV20,Q9H9A6,Q9Y597	STXB1_HUMAN,RPE_HUMAN,MTNA_HUMAN,LRC40_HUMAN,KCTD3_HUMAN	0	P61764,Q96AT9,Q9BV20,Q9H9A6,Q9Y597,	-	-	-	-	-	-	-	-	-	Fungi
C_487	5	Q9Y2Q9,O15118,O95139,Q9P0J0,Q9UBX3	RT28_HUMAN,NPC1_HUMAN,NDUB6_HUMAN,NDUAD_HUMAN,DIC_HUMAN	2	O15118,Q9UBX3,Q9Y2Q9,	O95139,Q9P0J0,	-	-	-	-	-	-	-	-	vertebrates
C_488	5	P62834,Q15165,P39748,O75937,P60953	RAP1A_HUMAN,PON2_HUMAN,FEN1_HUMAN,DNJC8_HUMAN,CDC42_HUMAN	0	O75937,P39748,P60953,P62834,Q15165,	-	-	-	-	-	-	-	-	-	multicellularity
C_489	5	Q96C45,O60701,P49459,Q13404,Q9Y244	ULK4_HUMAN,UGDH_HUMAN,UBE2A_HUMAN,UB2V1_HUMAN,POMP_HUMAN	2	O60701,Q96C45,Q9Y244,	P49459,Q13404,	-	-	-	-	-	-	-	-	Plants &Protists
C_490	5	Q9BYD6,P10515,Q56VL3,Q8N4V1,Q9H845	RM01_HUMAN,ODP2_HUMAN,OCAD2_HUMAN,MMGT1_HUMAN,ACAD9_HUMAN	0	P10515,Q56VL3,Q8N4V1,Q9BYD6,Q9H845,	-	-	-	-	-	-	-	-	-	vertebrates
C_491	5	P19634,P23511,P02686,Q9UK32,Q16543	SL9A1_HUMAN,NFYA_HUMAN,MBP_HUMAN,KS6A6_HUMAN,CDC37_HUMAN	0	P02686,P19634,P23511,Q16543,Q9UK32,	-	-	-	-	-	-	-	-	-	vertebrates
C_492	5	P23193,Q01970,Q6N069,P41227,Q8IUF8	TCEA1_HUMAN,PLCB3_HUMAN,NAA16_HUMAN,NAA10_HUMAN,MINA_HUMAN	2	P23193,Q01970,Q8IUF8,	Q6N069,P41227	-	-	-	-	-	-	-	Y_312 (1.24E-03)	vertebrates
C_493	5	Q9Y6G5,Q9P000,Q9NX08,Q86VX2,Q9UBI1	COMDA_HUMAN,COMD9_HUMAN,COMD8_HUMAN,COMD7_HUMAN,COMD3_HUMAN	0	Q86VX2,Q9NX08,Q9P000,Q9UBI1,Q9Y6G5,	-	-	-	-	-	-	-	-	-	multicellularity
C_494	5	P22695,P35232,P48047,P18859,O75947	QCR2_HUMAN,PHB_HUMAN,ATPO_HUMAN,ATP5J_HUMAN,ATP5H_HUMAN	3	P22695,P35232,	O75947,P18859,P48047,	CORUM_563::F1F0-ATP synthase (EC 3.6.3.14), mitochondrial (1.90e-04)	REACT_4862~ATPase complex [mitochondrial inner membrane] (2.71e-04)	-	-	GO:0005753|mitochondrial proton-transporting ATP synthase complex (1.46e-03)	-	F_109 (5.27E-04)	Y_39 (0.0475)	vertebrates
C_495	5	A6NIH7,Q13242,Q13435,P78347,Q8N5G0	U119B_HUMAN,SRSF9_HUMAN,SF3B2_HUMAN,GTF2I_HUMAN,CD052_HUMAN	2	A6NIH7,P78347,Q8N5G0,	Q13242,Q13435,	-	-	-	-	-	-	-	-	vertebrates
C_496	5	Q8IYW5,Q8NBT0,Q9NZJ7,Q9NVK5,Q01844	RN168_HUMAN,POC1A_HUMAN,MTCH1_HUMAN,FGOP2_HUMAN,EWS_HUMAN	0	Q01844,Q8IYW5,Q8NBT0,Q9NVK5,Q9NZJ7,	-	-	-	-	-	-	-	-	-	vertebrates
C_497	5	P13010,P54577,Q9HCD5,P36776,Q14204	XRCC5_HUMAN,SYYC_HUMAN,NCOA5_HUMAN,LONM_HUMAN,DYHC1_HUMAN	0	P13010,P36776,P54577,Q14204,Q9HCD5,	-	-	-	-	-	-	-	-	-	multicellularity
C_498	5	P56377,P61966,Q9BXS5,O43747,Q10567	AP1S2_HUMAN,AP1S1_HUMAN,AP1M1_HUMAN,AP1G1_HUMAN,AP1B1_HUMAN	5	-	O43747,P56377,P61966,Q10567,Q9BXS5,	CORUM_36::AP1 adaptor complex (8.26e-11)	REACT_14951~AP-1 Complex [cytoplasmic vesicle membrane] (1.02e-10)	-	HPRD_1088::in vitro (1.13e-05)	GO:0030119|AP-type membrane coat adaptor complex (3.33e-03)	AM001905 (1.73e-06)	-	Y_41 (8.97E-09)	Fungi
C_499	5	O43592,Q93009,O43396,P55055,Q8IUF8	XPOT_HUMAN,UBP7_HUMAN,TXNL1_HUMAN,NR1H2_HUMAN,MINA_HUMAN	0	O43396,O43592,P55055,Q8IUF8,Q93009,	-	-	-	-	-	-	-	-	-	vertebrates
C_500	5	Q15365,Q96G23,P14618,P08648,Q96AE4	PCBP1_HUMAN,LASS2_HUMAN,KPYM_HUMAN,ITA5_HUMAN,FUBP1_HUMAN	0	P08648,P14618,Q15365,Q96AE4,Q96G23,	-	-	-	-	-	-	-	-	-	vertebrates
C_501	6	Q8IX90,P35244,P15927,P27694,Q9UKK9,P28340	SKA3_HUMAN,RFA3_HUMAN,RFA2_HUMAN,RFA1_HUMAN,NUDT5_HUMAN,DPOD1_HUMAN	4	Q8IX90,Q9UKK9,	P15927,P27694,P28340,P35244,	CORUM_5229::RPA complex (1.19e-06)	REACT_8468~Processive complex loaded on telomere:Okazaki fragment:Flap:RPA heterotrimer [nucleoplasm] (5.74e-07)	PINdb_57::RP-A Complex- DNA replication (9.74e-05)	HPRD_596::in vivo (7.68e-04)	GO:0005662|DNA replication factor A complex (1.71e-04)	AM000017 (3.21e-06)	F_114 (1.02E-07)	Y_26 (0.0407)	multicellularity
C_502	6	Q9H4L4,Q6NTF9,P61224,P61020,Q9HCE1,Q8N4Q1	SENP3_HUMAN,RHBD2_HUMAN,RAP1B_HUMAN,RAB5B_HUMAN,MOV10_HUMAN,MIA40_HUMAN	0	P61020,P61224,Q6NTF9,Q8N4Q1,Q9H4L4,Q9HCE1,	-	-	-	-	-	-	-	-	-	vertebrates
